result,left,right,rate,cross_times,wooparoo_get_time
2,7,16,92.0,1.087,1.4414
2,7,129,92.0,1.087,1.4414
2,7,355,92.0,1.087,1.4414
2,16,2,92.0,1.087,1.4414
2,355,2,92.0,1.087,1.4414
2,129,2,92.0,1.087,1.4414
2,16,129,91.3,1.0953,1.82
2,16,355,91.3,1.0953,1.82
2,355,129,91.3,1.0953,1.82
2,2,413,15.32,6.5274,3.5973
2,2,462,15.32,6.5274,3.5973
2,2,4003,15.32,6.5274,3.5973
2,2,4014,15.32,6.5274,3.5973
2,2,1,15.05,6.6445,3.6206
2,2,17,15.05,6.6445,3.6585
2,2,175,15.05,6.6445,3.6585
2,2,19,15.05,6.6445,3.6777
2,2,348,15.05,6.6445,3.687
2,2,398,15.05,6.6445,3.687
2,2,646,15.05,6.6445,3.687
2,4014,1,12.02,8.3195,4.6223
2,413,1,12.02,8.3195,4.6223
2,4003,1,12.02,8.3195,4.6223
2,462,1,12.02,8.3195,4.6223
2,1,17,11.6,8.6207,4.7319
2,1,175,11.6,8.6207,4.7319
2,1,19,11.6,8.6207,4.7569
2,1,348,11.6,8.6207,4.769
2,1,398,11.6,8.6207,4.769
2,1,646,11.6,8.6207,4.769
2,2,678,24.83,4.0274,30.2035
2,2,675,23.97,4.1719,30.8541
2,678,675,18.19,5.4975,44.7744
2,7,678,18.64,5.3648,46.1164
2,16,678,18.64,5.3648,46.1164
2,355,678,18.64,5.3648,46.1164
2,129,678,18.64,5.3648,46.1164
2,16,675,17.95,5.571,47.2465
2,355,675,17.95,5.571,47.2465
2,129,675,17.95,5.571,47.2465
2,2,680,9.44,10.5932,47.5222
2,1,678,7.26,13.7741,61.6198
2,4014,675,7.32,13.6612,62.444
2,413,675,7.32,13.6612,62.444
2,4003,675,7.32,13.6612,62.444
2,462,675,7.32,13.6612,62.444
2,17,675,7.16,13.9665,62.6048
2,175,675,7.16,13.9665,62.6048
2,19,675,7.16,13.9665,62.6551
2,348,675,7.16,13.9665,62.6803
1,1,413,15.33,6.5232,3.5838
1,1,462,15.33,6.5232,3.5838
1,1,4003,15.33,6.5232,3.5838
1,1,4014,15.33,6.5232,3.5838
1,1,2,15.07,6.6357,3.6098
1,1,17,15.07,6.6357,3.6423
1,1,175,15.07,6.6357,3.6423
1,1,19,15.07,6.6357,3.6616
1,1,348,15.07,6.6357,3.6709
1,1,398,15.07,6.6357,3.6709
1,1,646,15.07,6.6357,3.6709
1,4014,2,12.07,8.285,4.6106
1,413,2,12.07,8.285,4.6106
1,4003,2,12.07,8.285,4.6106
1,462,2,12.07,8.285,4.6106
1,2,17,11.62,8.6059,4.7384
1,2,175,11.62,8.6059,4.7384
1,2,19,11.62,8.6059,4.7634
1,2,348,11.62,8.6059,4.7754
1,2,398,11.62,8.6059,4.7754
1,2,646,11.62,8.6059,4.7754
1,1,27,39.22,2.5497,9.0545
1,1,149,39.22,2.5497,9.0545
1,27,149,33.21,3.0111,12.3443
1,27,4,30.55,3.2733,12.7593
1,149,4,30.55,3.2733,12.7593
1,1,680,24.83,4.0274,31.0742
1,1,675,23.97,4.1719,31.6051
1,1,271,7.62,13.1234,33.676
1,1,354,7.62,13.1234,33.676
1,1,3,7.52,13.2979,33.911
1,1,18,7.35,13.6054,35.0598
1,1,21,7.35,13.6054,35.0598
1,1,198,7.35,13.6054,35.0598
1,1,261,7.35,13.6054,35.0598
1,354,3,5.92,16.8919,43.7061
1,271,3,5.92,16.8919,43.7061
1,3,18,5.66,17.6678,45.6024
1,3,21,5.66,17.6678,45.6024
1,3,198,5.66,17.6678,45.6024
1,3,261,5.66,17.6678,45.6024
1,680,675,18.19,5.4975,46.0778
1,1,678,9.5,10.5263,47.0905
1,27,680,13.77,7.2622,57.8245
1,149,680,13.77,7.2622,57.8245
1,27,675,13.39,7.4683,58.8278
1,149,675,13.39,7.4683,58.8278
1,4,680,12.77,7.8309,60.7286
1,2,680,7.32,13.6612,61.2855
1,4014,675,7.39,13.5318,61.8525
4,4,27,63.9,1.5649,6.2533
4,4,149,63.9,1.5649,6.2533
4,149,1,55.52,1.8012,6.5938
4,27,1,55.52,1.8012,6.5938
4,149,27,58.09,1.7215,7.0575
4,4,24,58.34,1.7141,7.7611
4,4,122,58.34,1.7141,7.7611
4,4,300,58.34,1.7141,7.7611
4,4,342,58.34,1.7141,7.7611
4,4,384,58.34,1.7141,7.7611
4,300,3,50.69,1.9728,8.3664
4,122,3,50.69,1.9728,8.3664
4,24,3,50.69,1.9728,8.3664
4,342,3,50.69,1.9728,8.3664
4,384,3,50.69,1.9728,8.3664
4,300,24,53.0,1.8868,8.7959
4,300,122,53.0,1.8868,8.7959
4,300,342,53.0,1.8868,8.7959
4,300,384,53.0,1.8868,8.7959
4,122,24,53.0,1.8868,8.7959
4,122,342,53.0,1.8868,8.7959
4,122,384,53.0,1.8868,8.7959
4,24,342,53.0,1.8868,8.7959
4,24,384,53.0,1.8868,8.7959
4,342,384,53.0,1.8868,8.7959
4,4,675,44.18,2.2635,14.7397
4,300,675,26.12,3.8285,26.2681
4,122,675,26.12,3.8285,26.2681
4,24,675,26.12,3.8285,26.2681
4,342,675,26.12,3.8285,26.2681
4,384,675,26.12,3.8285,26.2681
4,4,680,29.01,3.4471,26.7323
4,149,680,24.06,4.1563,33.0941
4,27,680,24.06,4.1563,33.0941
4,149,675,23.41,4.2717,33.6482
4,27,675,23.41,4.2717,33.6482
4,4,135,22.42,4.4603,46.8568
4,4,141,22.42,4.4603,48.1735
4,4,466,22.42,4.4603,48.4616
4,4,2,9.94,10.0604,59.5525
4,4,4006,10.0,10.0,59.56
4,4,37,9.93,10.0705,60.1763
4,4,5,9.82,10.1833,60.388
4,4,22,9.84,10.1626,60.564
4,4,49,9.84,10.1626,60.564
4,4,138,9.77,10.2354,60.7143
4,4,336,9.77,10.2354,60.83
4,4,445,9.77,10.2354,60.9457
4,4,204,9.7,10.3093,61.3805
4,4,25,9.77,10.2354,61.4093
3,3,24,35.81,2.7925,11.5808
3,3,122,35.81,2.7925,11.5808
3,3,300,35.81,2.7925,11.5808
3,3,342,35.81,2.7925,11.5808
3,3,384,35.81,2.7925,11.5808
3,384,24,30.3,3.3003,15.3853
3,384,122,30.3,3.3003,15.3853
3,384,300,30.3,3.3003,15.3853
3,384,342,30.3,3.3003,15.3853
3,300,24,30.3,3.3003,15.3853
3,300,122,30.3,3.3003,15.3853
