result,left,right,rate,cross_times,wooparoo_get_time
7,6,3,30.0,3.3333,18.1412
7,41,3,13.54,7.3855,39.748
7,41,6,13.46,7.4294,39.8186
7,3,40,13.16,7.5988,40.5434
7,3,75,13.16,7.5988,40.5434
7,6,40,13.0,7.6923,40.6869
7,6,75,13.0,7.6923,40.6869
7,3,144,13.16,7.5988,40.9173
7,3,153,13.16,7.5988,40.9173
7,3,240,13.16,7.5988,40.9173
7,6,144,13.0,7.6923,41.0615
7,6,153,13.0,7.6923,41.0615
7,6,240,13.0,7.6923,41.0615
7,169,3,9.15,10.929,79.4626
7,41,135,9.07,11.0254,80.5394
7,6,146,8.89,11.2486,81.4027
7,6,140,8.89,11.2486,82.0765
7,40,135,8.81,11.3507,82.3119
7,75,135,8.81,11.3507,82.3119
7,135,144,8.81,11.3507,82.9509
7,135,153,8.81,11.3507,82.9509
7,135,240,8.81,11.3507,82.9509
7,7,41,8.02,12.4688,95.0746
7,7,533,8.02,12.4688,95.0746
7,7,628,8.02,12.4688,95.0746
7,7,40,7.94,12.5945,95.7207
7,7,75,7.94,12.5945,95.7207
7,7,144,7.94,12.5945,96.0104
7,7,153,7.94,12.5945,96.0104
7,7,240,7.94,12.5945,96.0104
7,41,1,4.79,20.8768,108.0562
7,4013,1,4.79,20.8768,108.0562
7,4013,3,4.79,20.8768,108.0708
7,271,6,4.78,20.9205,108.1883
7,354,6,4.78,20.9205,108.1883
7,4013,6,4.78,20.9205,108.1883
7,1,40,4.74,21.097,109.004
7,1,75,4.74,21.097,109.004
7,6,18,4.7,21.2766,109.1128
7,6,21,4.7,21.2766,109.1128
7,6,198,4.7,21.2766,109.1128
7,6,261,4.7,21.2766,109.1128
7,3,183,4.74,21.097,109.1875
7,3,8,4.73,21.1416,109.2302
7,3,9,4.73,21.1416,109.2302
7,1,144,4.74,21.097,109.3837
7,1,153,4.74,21.097,109.3837
7,1,240,4.74,21.097,109.3837
7,3,116,4.74,21.097,109.4533
7,3,641,4.74,21.097,109.947
5,5,50,49.75,2.0101,6.6975
5,5,179,49.75,2.0101,6.6975
5,5,630,49.75,2.0101,6.6975
5,50,6,40.93,2.4432,7.871
5,179,6,40.93,2.4432,7.871
5,630,6,40.93,2.4432,7.871
5,50,179,43.12,2.3191,9.4522
5,50,630,43.12,2.3191,9.4522
5,179,630,43.12,2.3191,9.4522
5,5,3,10.86,9.2081,36.7679
5,5,37,14.19,7.0472,37.3424
5,5,23,10.67,9.3721,37.6796
5,5,26,10.67,9.3721,37.6796
5,5,152,10.67,9.3721,37.6796
5,5,248,10.67,9.3721,37.6796
5,5,4,13.96,7.1633,37.8086
5,5,351,10.67,9.3721,38.256
5,5,204,13.74,7.278,38.4992
5,5,341,13.74,7.278,38.5567
5,5,25,13.87,7.2098,38.5681
5,5,51,13.87,7.2098,38.5681
5,5,135,22.42,4.4603,42.934
5,5,162,22.42,4.4603,44.1686
5,5,195,22.42,4.4603,44.3332
5,3,23,8.3,12.0482,48.3916
5,3,26,8.3,12.0482,48.3916
5,3,152,8.3,12.0482,48.3916
5,3,248,8.3,12.0482,48.3916
5,37,4,11.09,9.0171,48.5769
5,3,351,8.3,12.0482,49.1446
5,37,204,10.91,9.1659,49.4711
5,37,341,10.91,9.1659,49.5463
5,37,25,11.02,9.0744,49.5471
5,37,51,11.02,9.0744,49.5471
5,4,204,10.57,9.4607,50.645
5,4,341,10.57,9.4607,50.7198
5,4,25,10.66,9.3809,50.7835
5,4,51,10.66,9.3809,50.7835
5,5,7,15.1,6.6225,50.8038
5,5,69,15.1,6.6225,50.8038
5,5,4004,15.1,6.6225,50.8038
5,5,4016,15.1,6.6225,50.8038
5,5,13,14.73,6.7889,52.225
5,5,187,14.73,6.7889,52.225
5,5,548,14.73,6.7889,52.2521
5,5,213,14.73,6.7889,52.2657
5,5,223,14.73,6.7889,52.2657
5,204,341,10.24,9.7656,52.5428
5,204,25,10.33,9.6805,52.5806
5,204,51,10.33,9.6805,52.5806
1,1,4003,17.48,5.7208,2.968
1,1,4014,17.48,5.7208,2.968
1,1,17,17.09,5.8514,3.0375
1,1,175,17.09,5.8514,3.0375
1,1,19,17.09,5.8514,3.0568
1,1,348,17.09,5.8514,3.0661
1,1,398,17.09,5.8514,3.0661
1,2,1,15.12,6.6138,3.4035
1,4003,2,13.76,7.2674,3.8263
1,4014,2,13.76,7.2674,3.8263
1,2,17,13.17,7.593,3.9567
1,2,175,13.17,7.593,3.9567
1,2,19,13.17,7.593,3.9818
1,2,348,13.17,7.593,3.9939
1,2,398,13.17,7.593,3.9939
1,1,27,39.22,2.5497,9.0545
1,1,149,39.22,2.5497,9.0545
1,27,4,30.55,3.2733,12.7593
1,149,4,30.55,3.2733,12.7593
1,27,149,32.83,3.046,13.9409
1,1,271,7.62,13.1234,33.676
1,1,354,7.62,13.1234,33.676
1,1,3,7.52,13.2979,33.911
1,1,18,7.35,13.6054,35.0598
1,1,21,7.35,13.6054,35.0598
1,1,198,7.35,13.6054,35.0598
1,1,261,7.35,13.6054,35.0598
1,271,3,5.92,16.8919,43.7061
1,354,3,5.92,16.8919,43.7061
1,3,18,5.66,17.6678,45.6024
1,3,21,5.66,17.6678,45.6024
1,3,198,5.66,17.6678,45.6024
1,3,261,5.66,17.6678,45.6024
1,1,7,11.4,8.7719,62.4928
1,1,4015,11.4,8.7719,62.4928
1,1,135,14.17,7.0572,63.9629
1,1,12,11.03,9.0662,64.8578
1,1,39,11.03,9.0662,64.8578
1,1,191,11.03,9.0662,64.8578
1,1,241,11.03,9.0662,64.8578
1,1,137,14.17,7.0572,65.6905
1,1,227,14.17,7.0572,65.6905
1,1,635,11.08,9.0253,71.1239
1,1,6,7.32,13.6612,72.7541
1,1,56,10.72,9.3284,73.1598
1,1,108,10.72,9.3284,73.8063
1,1,133,10.72,9.3284,74.0218
1,1,183,7.3,13.6986,74.0478
1,1,280,10.72,9.3284,74.2373
1,1,8,7.21,13.8696,74.4631
6,6,50,49.74,2.0105,6.4101
6,6,179,49.74,2.0105,6.4101
6,6,630,49.74,2.0105,6.4101
6,50,5,40.92,2.4438,8.0609
6,179,5,40.92,2.4438,8.0609
6,630,5,40.92,2.4438,8.0609
6,50,179,43.12,2.3191,9.4522
6,50,630,43.12,2.3191,9.4522
6,179,630,43.12,2.3191,9.4522
6,6,169,45.74,2.1863,9.6538
6,169,135,36.33,2.7525,13.708
6,6,7,31.28,3.1969,23.2683
6,6,15,30.49,3.2798,24.262
6,6,148,30.49,3.2798,24.303
6,6,120,29.75,3.3613,24.6249
6,7,15,25.23,3.9635,31.3124
6,7,148,25.23,3.9635,31.3659
6,7,120,24.58,4.0683,31.7722
6,15,148,23.95,4.1754,33.9118
6,15,120,23.34,4.2845,34.3625
6,148,120,23.34,4.2845,34.4697
6,6,1,12.68,7.8864,41.8137
6,6,183,12.53,7.9808,42.7883
6,6,8,12.42,8.0515,42.8654
6,6,9,12.42,8.0515,42.8654
6,6,116,12.53,7.9808,43.078
6,6,641,12.53,7.9808,43.6143
6,6,41,12.07,8.285,43.8508
6,6,40,11.83,8.4531,44.711
6,6,75,11.83,8.4531,44.711
6,6,144,11.83,8.4531,45.1226
6,6,153,11.83,8.4531,45.1226
6,6,240,11.83,8.4531,45.1226
6,6,196,17.29,5.7837,54.0203
6,6,3,9.98,10.02,54.5328
6,1,183,9.75,10.2564,55.441
6,1,8,9.67,10.3413,55.5204
6,1,9,9.67,10.3413,55.5204
6,1,116,9.75,10.2564,55.8153
6,1,641,9.75,10.2564,56.5128
6,3,41,9.4,10.6383,56.8245
6,6,2,11.7,8.547,57.7504
6,3,40,9.2,10.8696,57.9948
6,3,75,9.2,10.8696,57.9948
6,3,144,9.2,10.8696,58.5295
6,3,153,9.2,10.8696,58.5295
6,3,240,9.2,10.8696,58.5295
6,6,45,11.57,8.643,58.8649
6,6,491,11.57,8.643,59.0291
6,6,159,11.57,8.643,59.1933
2,2,16,92.0,1.087,1.4414
2,2,129,92.0,1.087,1.4414
2,2,355,92.0,1.087,1.4414
2,7,16,92.0,1.087,1.4414
2,7,129,92.0,1.087,1.4414
2,7,355,92.0,1.087,1.4414
2,16,129,90.25,1.108,2.3989
2,16,355,90.25,1.108,2.3989
2,129,355,90.25,1.108,2.3989
2,2,4003,17.43,5.7372,2.9879
2,2,4014,17.43,5.7372,2.9879
2,2,1,17.08,5.8548,3.0129
2,2,17,17.08,5.8548,3.0509
2,2,175,17.08,5.8548,3.0509
2,2,19,17.08,5.8548,3.0703
2,2,348,17.08,5.8548,3.0796
2,2,398,17.08,5.8548,3.0796
2,4003,1,13.7,7.2993,3.8358
2,4014,1,13.7,7.2993,3.8358
2,1,17,13.16,7.5988,3.9445
2,1,175,13.16,7.5988,3.9445
2,1,19,13.16,7.5988,3.9696
2,1,348,13.16,7.5988,3.9818
2,1,398,13.16,7.5988,3.9818
2,2,4022,20.22,4.9456,42.551
2,2,135,19.09,5.2383,44.5481
2,2,139,19.09,5.2383,46.8571
2,4022,135,15.38,6.502,57.8112
2,4022,139,15.38,6.502,60.8074
2,135,139,13.76,7.2674,66.0505
2,2,57,11.16,8.9606,66.8989
2,2,126,11.16,8.9606,66.8989
2,2,216,11.16,8.9606,66.8989
2,2,196,12.76,7.837,87.2885
2,2,634,6.68,14.9701,87.3745
2,2,4015,6.68,14.9701,87.3745
2,2,12,6.54,15.2905,90.1497
2,2,39,6.54,15.2905,90.1497
2,2,191,6.54,15.2905,90.1497
2,2,241,6.54,15.2905,90.1497
2,56,57,8.27,12.0919,91.7787
2,56,126,8.27,12.0919,91.7787
2,56,216,8.27,12.0919,91.7787
2,57,126,8.27,12.0919,93.6433
2,57,216,8.27,12.0919,93.6433
2,126,216,8.27,12.0919,93.6433
2,2,648,7.2,13.8889,98.3792
2,2,6,6.77,14.771,100.2065
2,2,4006,5.81,17.2117,101.9311
2,2,137,7.05,14.1844,102.122
4,4,27,63.9,1.5649,6.2533
4,4,149,63.9,1.5649,6.2533
4,27,1,55.52,1.8012,6.5938
4,149,1,55.52,1.8012,6.5938
4,4,24,58.34,1.7141,7.7611
4,4,122,58.34,1.7141,7.7611
4,4,300,58.34,1.7141,7.7611
4,4,342,58.34,1.7141,7.7611
4,4,384,58.34,1.7141,7.7611
4,27,149,57.42,1.7416,7.971
4,24,3,50.69,1.9728,8.3664
4,122,3,50.69,1.9728,8.3664
4,300,3,50.69,1.9728,8.3664
4,342,3,50.69,1.9728,8.3664
4,384,3,50.69,1.9728,8.3664
4,24,122,52.36,1.9099,9.802
4,24,300,52.36,1.9099,9.802
4,24,342,52.36,1.9099,9.802
4,24,384,52.36,1.9099,9.802
4,122,300,52.36,1.9099,9.802
4,122,342,52.36,1.9099,9.802
4,122,384,52.36,1.9099,9.802
4,300,342,52.36,1.9099,9.802
4,300,384,52.36,1.9099,9.802
4,342,384,52.36,1.9099,9.802
4,4,135,29.75,3.3613,28.724
4,4,141,29.75,3.3613,30.0443
4,4,37,14.23,7.0274,37.6985
4,4,5,13.99,7.148,37.958
4,4,204,13.76,7.2674,38.9038
4,4,25,13.9,7.1942,38.9458
4,4,51,13.9,7.1942,38.9458
4,4,341,13.76,7.2674,38.9613
4,135,141,22.23,4.4984,40.7497
4,37,5,11.14,8.9767,48.0595
4,37,204,10.95,9.1324,49.2903
4,37,341,10.95,9.1324,49.3652
4,37,25,11.04,9.058,49.4576
4,37,51,11.04,9.058,49.4576
4,5,204,10.59,9.4429,49.9511
4,5,341,10.59,9.4429,50.0257
4,5,25,10.69,9.3545,50.041
4,5,51,10.69,9.3545,50.041
4,204,341,10.28,9.7276,52.3384
4,204,25,10.37,9.6432,52.378
4,204,51,10.37,9.6432,52.378
4,341,25,10.37,9.6432,52.5275
4,341,51,10.37,9.6432,52.5275
4,25,51,10.55,9.4787,52.6286
4,4,2,9.94,10.0604,59.5525
3,3,24,35.81,2.7925,11.5808
3,3,122,35.81,2.7925,11.5808
3,3,300,35.81,2.7925,11.5808
3,3,342,35.81,2.7925,11.5808
3,3,384,35.81,2.7925,11.5808
3,24,4,27.89,3.5855,15.9343
3,122,4,27.89,3.5855,15.9343
3,300,4,27.89,3.5855,15.9343
3,342,4,27.89,3.5855,15.9343
3,384,4,27.89,3.5855,15.9343
3,24,122,29.94,3.34,17.1415
3,24,300,29.94,3.34,17.1415
3,24,342,29.94,3.34,17.1415
3,24,384,29.94,3.34,17.1415
3,122,300,29.94,3.34,17.1415
3,122,342,29.94,3.34,17.1415
3,122,384,29.94,3.34,17.1415
3,300,342,29.94,3.34,17.1415
3,300,384,29.94,3.34,17.1415
3,342,384,29.94,3.34,17.1415
3,3,77,30.1,3.3223,18.3348
3,3,209,30.1,3.3223,18.3348
3,3,311,30.1,3.3223,18.3348
3,77,56,22.72,4.4014,26.3204
3,209,56,22.72,4.4014,26.3204
3,311,56,22.72,4.4014,26.3204
3,77,209,24.65,4.0568,26.7165
3,77,311,24.65,4.0568,26.7165
3,209,311,24.65,4.0568,26.7165
3,3,271,7.57,13.21,33.955
3,3,354,7.57,13.21,33.955
3,3,1,7.5,13.3333,34.0292
3,3,18,7.33,13.6426,35.2129
3,3,21,7.33,13.6426,35.2129
3,3,198,7.33,13.6426,35.2129
3,3,261,7.33,13.6426,35.2129
3,271,1,5.88,17.0068,43.966
3,354,1,5.88,17.0068,43.966
3,1,18,5.64,17.7305,45.6897
3,1,21,5.64,17.7305,45.6897
3,1,198,5.64,17.7305,45.6897
3,1,261,5.64,17.7305,45.6897
3,3,135,14.17,7.0572,63.2516
3,3,5,6.29,15.8983,63.4533
3,3,146,14.17,7.0572,64.2593
3,3,23,6.2,16.129,64.7821
3,3,26,6.2,16.129,64.7821
3,3,152,6.2,16.129,64.7821
3,3,248,6.2,16.129,64.7821
3,3,140,14.17,7.0572,65.555
9,9,1,24.66,4.0552,21.8478
9,9,6,24.51,4.08,21.8843
9,9,183,28.57,3.5002,22.0562
9,9,8,28.3,3.5336,22.0829
9,9,116,28.57,3.5002,22.1993
9,9,641,28.57,3.5002,22.4657
9,6,1,19.52,5.123,27.1621
9,1,183,19.52,5.123,27.6924
9,1,8,19.36,5.1653,27.7315
9,6,183,19.28,5.1867,27.808
9,6,8,19.12,5.2301,27.8445
9,1,116,19.52,5.123,27.8794
9,6,116,19.28,5.1867,27.9963
9,1,641,19.52,5.123,28.2277
9,6,641,19.28,5.1867,28.3448
9,183,8,22.18,4.5086,28.6485
9,183,116,22.39,4.4663,28.8054
9,8,116,21.97,4.5517,28.8682
9,183,641,22.39,4.4663,29.1524
9,8,641,21.97,4.5517,29.2146
9,116,641,22.39,4.4663,29.5267
9,9,169,20.36,4.9116,43.5423
9,9,359,20.36,4.9116,43.5423
9,9,137,20.0,5.0,44.7295
